t,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
16291318,0.00,-0.03,1.00,0.11,0.87,-0.68,35.40,1.11,-25.43
16341478,0.00,-0.04,1.00,-0.56,0.75,0.35,35.69,0.92,-26.29
16390918,0.00,-0.03,1.00,-0.01,0.62,-0.01,35.41,0.67,-25.54
16440600,0.00,-0.03,1.01,-0.25,0.44,0.54,35.83,0.32,-26.65
16490384,-0.00,-0.03,1.01,-0.56,0.50,3.04,36.36,-0.04,-25.27
16540816,0.00,-0.03,1.00,0.05,0.50,2.98,36.87,-0.02,-25.76
16589621,-0.01,-0.04,1.00,0.97,0.62,7.86,36.74,-0.76,-25.67
16639875,0.01,-0.04,1.01,-0.13,0.08,6.58,36.52,-0.98,-25.92
16690069,0.00,-0.03,1.00,0.11,0.38,-0.19,36.24,-1.50,-25.95
16740193,0.00,-0.03,1.00,0.24,0.26,-0.32,36.78,-1.15,-25.57
16790347,0.00,-0.03,1.00,0.36,-0.05,-2.45,36.22,-0.71,-26.17
16840442,-0.06,-0.07,1.03,0.66,-8.53,-8.43,35.80,-0.12,-26.32
16889466,0.10,0.08,1.11,-4.83,-34.59,4.02,35.96,-1.82,-26.68
16939842,-0.06,-0.02,1.07,-0.68,-83.12,15.61,32.97,-1.67,-26.99
16989024,-0.17,-0.04,1.03,8.11,-170.09,10.24,27.50,-0.35,-27.72
17039233,-0.39,-0.08,0.85,-4.04,-235.64,3.47,20.47,-0.05,-27.34
17089127,-0.56,-0.05,0.77,-14.05,-221.91,3.16,13.88,-0.13,-27.05
17139071,-0.67,0.03,0.54,-1.47,-191.94,-5.14,7.24,0.21,-23.52
17189740,-0.86,-0.03,0.47,-1.66,-128.34,6.21,4.24,0.56,-20.75
17238607,-0.93,-0.03,0.28,6.16,-100.88,3.04,2.23,0.29,-17.57
17288621,-0.96,-0.06,0.25,2.19,-60.84,1.21,-0.15,0.76,-17.08
17338652,-0.98,-0.02,0.23,1.40,-34.35,-1.23,-0.13,0.12,-15.30
17388834,-0.98,-0.02,0.19,12.02,4.65,-1.17,-0.92,0.87,-14.75
17439388,-0.97,-0.03,0.23,5.73,34.32,2.19,-0.78,1.65,-15.37
17487752,-0.94,-0.04,0.27,7.32,71.06,-1.42,0.67,1.66,-17.30
17538326,-0.90,-0.02,0.34,22.64,126.11,-9.35,2.64,1.65,-19.48
17587653,-0.75,-0.04,0.58,4.02,182.20,1.51,6.74,0.38,-23.58
17638043,-0.64,-0.02,0.64,20.13,203.02,-19.66,13.31,0.54,-26.25
17688280,-0.50,-0.04,0.77,5.61,224.26,2.61,20.21,-0.82,-27.98
17738483,-0.20,-0.04,0.92,20.44,258.62,3.83,28.83,-0.40,-28.50
17788310,0.04,-0.22,1.27,13.36,253.80,6.21,37.54,-0.78,-26.23
17837456,-0.02,-0.01,1.01,-2.27,-0.17,-1.96,39.21,-2.76,-26.81
17888391,0.00,-0.03,1.01,0.05,1.72,0.23,38.93,-2.16,-25.33
17937001,-0.02,-0.04,1.06,-2.21,25.47,17.08,38.24,-1.86,-25.39
17987599,-0.06,-0.02,1.28,-17.16,95.41,-17.89,38.12,0.42,-23.86
18036753,0.27,0.02,1.01,-18.62,228.96,-33.28,42.61,0.85,-21.37
18086975,0.43,-0.03,0.84,-13.86,193.43,-36.27,47.99,1.25,-17.55
18137365,0.65,0.01,0.82,-10.57,133.74,-19.36,50.20,1.62,-13.32
18187445,0.63,0.00,0.60,-5.32,98.10,1.88,52.86,-0.12,-10.64
18237604,0.68,-0.02,0.56,6.40,13.50,-0.13,53.64,-0.60,-8.89
18286211,0.71,-0.00,0.65,3.29,-36.06,3.47,53.06,0.34,-11.29
18336473,0.71,-0.03,0.76,3.90,-47.47,10.61,53.10,-0.73,-11.43
18386661,0.70,-0.00,0.80,13.24,-61.57,18.79,52.78,-1.61,-13.43
18436996,0.51,0.04,0.83,29.53,-106.13,14.64,50.99,-1.97,-16.11
18486045,0.37,-0.06,0.77,20.38,-187.85,-4.96,47.55,-0.74,-18.51
18536980,0.19,-0.10,0.90,-2.21,-213.12,2.12,42.59,-1.06,-23.49
18586006,0.07,0.10,1.28,16.90,-169.11,38.14,37.68,-1.14,-26.18
18636035,0.01,-0.05,1.00,-1.72,1.72,21.35,36.30,-0.72,-26.77
18686149,-0.08,-0.03,1.01,-1.66,4.53,11.34,36.49,-0.63,-26.78
18735050,-0.02,-0.04,1.01,0.60,4.35,-3.06,36.19,-0.70,-26.70
18785943,0.06,-0.07,1.00,1.27,11.18,-89.18,37.15,0.22,-26.07
18835967,-0.00,0.01,1.02,-6.97,11.24,-181.04,37.98,3.12,-25.77
18885224,-0.04,-0.04,1.00,2.37,1.54,-144.54,37.71,5.91,-25.81
18935708,0.02,-0.05,1.01,-0.80,-0.35,-145.64,38.84,7.69,-26.22
18986068,0.17,0.00,1.00,2.37,-0.23,-127.88,38.24,9.86,-26.72
19035712,-0.02,-0.02,1.00,0.66,-0.41,-87.90,38.45,11.79,-25.94
19085507,-0.01,-0.03,1.00,0.54,0.44,-3.06,38.28,11.78,-25.57
19134944,-0.01,0.00,1.01,3.59,0.93,119.01,38.35,10.73,-25.87
19185392,-0.08,0.06,1.01,-0.56,0.56,275.32,38.90,7.02,-25.89
19233915,0.06,-0.04,1.01,-8.55,2.46,375.35,37.56,1.97,-26.43
19284253,0.14,0.00,1.01,-6.05,0.08,214.95,34.51,-1.92,-26.72
19334092,0.04,-0.04,1.00,0.24,0.32,38.68,34.68,-3.05,-26.65
19383937,0.02,0.03,1.02,-1.29,11.12,-40.48,35.45,-3.31,-26.28
19434021,-0.01,-0.08,0.99,1.64,3.13,-35.96,36.50,-2.21,-26.62
19484310,-0.00,-0.05,1.01,3.29,-4.01,-29.61,36.04,-2.05,-26.15
19534529,-0.05,-0.08,0.99,4.08,1.17,-21.19,37.02,-1.51,-26.20
19583035,0.00,-0.04,1.00,0.54,-0.66,1.58,36.73,-1.46,-25.32
19633286,-0.01,-0.03,1.01,2.80,0.69,-4.83,36.76,-1.21,-26.23
19683467,0.01,-0.03,1.01,4.32,3.74,-3.92,36.66,-1.17,-25.63
19733289,0.04,0.00,1.02,-0.74,4.29,-5.93,36.85,-1.62,-25.60
19782639,-0.03,-0.02,1.03,-0.01,-1.63,-5.02,37.26,-1.54,-26.27
19834098,0.02,-0.01,1.27,20.32,-9.81,-1.11,37.12,-1.39,-26.33
19882769,-0.04,-0.01,1.26,12.32,-4.99,-3.00,35.85,-0.27,-27.16
19932969,0.00,-0.02,1.22,-2.39,19.06,0.29,35.40,0.61,-26.97
19983008,0.02,-0.06,1.20,16.10,-6.52,-2.09,35.10,1.56,-27.42
20032960,-0.03,-0.07,1.16,0.97,-21.47,-5.93,33.40,2.49,-28.39
20083059,-0.01,-0.18,1.13,7.13,-19.33,-2.70,32.31,2.86,-30.41
20131904,-0.01,-0.08,1.11,-2.33,32.48,2.06,32.54,2.75,-31.54
20181903,0.04,-0.21,1.10,-22.10,50.00,17.99,34.74,1.45,-32.51
20232168,0.06,-0.04,0.93,-8.13,15.82,-8.19,36.19,0.67,-31.27
20282416,-0.00,-0.08,0.83,-30.16,8.07,-4.71,37.34,-0.22,-30.33
20331437,0.01,0.01,0.62,-16.85,-9.57,-10.94,37.06,-0.90,-31.42
20381467,-0.00,-0.03,0.56,-34.13,-34.84,-0.87,37.54,-2.28,-31.31
20431825,0.04,0.09,0.54,-6.78,-60.72,-4.16,34.99,-2.88,-33.13
20481440,-0.04,-0.05,0.45,-8.80,-36.85,3.83,33.74,-3.63,-33.54
