t,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
32540975,0,-0.02,1,0.23,0.34,0.13,32.59,18.77,-28.42
32591699,0,-0.04,1.01,0.35,0.4,0.13,32.42,19.01,-27.99
32640046,0,-0.02,1,0.23,0.34,0.13,32.21,18.73,-27.84
32690490,0,-0.04,1.01,0.29,0.4,-0.06,33.02,18.95,-28.64
32741042,0,-0.03,1.01,0.29,0.21,0.06,32.2,18.37,-27.19
32790746,0,-0.02,1,0.29,0.28,0.06,32.71,18.53,-27.77
32840463,0,-0.03,1,0.23,0.34,0.13,32.53,18.58,-27.28
32889620,0,-0.03,1.01,0.29,0.4,0.13,31.9,18.41,-27.6
32938987,0,-0.03,1.01,0.35,0.21,-0.06,32.53,18.81,-26.59
32989704,0,-0.03,1.01,0.17,0.28,0.19,32.07,18.84,-27.66
33038708,0,-0.02,1.01,0.17,0.46,0.19,32.08,19.08,-27.69
33088960,0,-0.04,1,0.35,0.4,0.06,32.26,19.01,-27.86
33138959,0,-0.02,1.01,0.35,0.28,0.13,32.17,18.97,-27.84
33187619,0,-0.03,1.01,0.11,0.28,0.13,31.79,18.82,-28.12
33237815,0,-0.04,1.01,0.29,0.28,0.31,32.24,18.75,-27.27
33288082,0,-0.02,1,0.29,0.21,0.06,31.81,19.07,-28.16
33338412,0,-0.04,1.01,0.35,0.34,0.37,32.24,18.69,-27.88
33386999,0,-0.02,1,0.23,0.28,0.19,31.98,18.6,-29.15
33437458,0,-0.04,1.01,0.29,0.4,0.19,32.04,18.08,-27.73
33486416,0,-0.03,1.01,0.29,0.34,0.06,32.36,18.73,-27.83
33536294,0,-0.03,1,0.35,0.28,0.13,32.17,18.29,-27.93
33586334,0,-0.03,1.01,0.29,0.28,0.19,32.13,19.15,-28.96
